,PC1,PC2,PC3,PC4,PC5
A2M,0.946736926843743,0.932703235466341,0.945668050675354,0.946902044355716,0.948438627086634
AARS,0.986314492307987,0.938956370587212,0.950176998242576,0.945853920064496,0.944042212142661
AASS,0.990888324030972,0.94956948907769,0.947324007747411,0.945706764426974,0.949935272641937
ABAT,0.96012161661911,0.945852762259113,0.933685330081331,0.950311734732075,0.944053947984274
ABCC3,0.969067731751565,0.955458021091919,0.946414230907662,0.941708215959091,0.946453622298754
ABCC5,0.973265190088912,0.945054656680173,0.944843116888915,0.947045008097965,0.942529236567413
ABCC6,0.986556766000576,0.952521644767503,0.943229242728502,0.942747532721399,0.948693363602985
ABCC8,0.955813133489842,0.9499617016526,0.943081955381937,0.944154433345139,0.945405700976748
ABCC9,0.973603513863171,0.964157630323787,0.94621294080374,0.946294297932519,0.946156221367526
ABCG1,0.964450050310132,0.942544595424356,0.941705026655358,0.94803271362329,0.944207151563546
ABCG2,0.973459375185547,0.955997021587917,0.942354173505947,0.947346936792797,0.948902366258979
ABL1,0.876825499645825,0.947040327658812,0.943226754133328,0.947151058036967,0.948738063102534
ACACB,0.96474263299658,0.959043121713967,0.940399385121135,0.947332214308339,0.949132131545066
ACAT1,0.946878315210327,0.940649822427244,0.942390856221668,0.944256600067372,0.945932333618161
ACE2,0.991106934776778,0.961912533867177,0.947449665339093,0.943342486388472,0.946459837613337
ACO2,0.964363168713358,0.937539401885713,0.946823705954219,0.946509605500305,0.946323943309394
ACOT13,0.99938177139551,0.933956836287788,0.947617198848427,0.94671137389063,0.945306029131161
ACP1,0.986197904872126,0.932354868674963,0.94745226711078,0.946614735646955,0.946032074748878
ACSL1,0.946959768982222,0.945163930387048,0.9472781499594,0.941773490360604,0.946795358091641
ACTR2,0.946545652692691,0.921855964659927,0.947045890364074,0.946184961958735,0.946823597504789
ACTR3,0.946687054990273,0.929856756119738,0.94765376984142,0.945836381554884,0.946788354025048
ACVR1B,0.986712657633286,0.961510912547814,0.945808625973172,0.94616068237298,0.945946789518208
ADAM28,0.995543340700178,0.964932457541631,0.946230388514915,0.946568470702545,0.946076936511405
ADAM9,0.999426896765561,0.936462561037405,0.950364844786767,0.944512861069734,0.942782626886135
ADAMTS1,0.999654587553452,0.949329847421487,0.947280279879998,0.945736138669237,0.949803042436109
ADAMTS5,0.999841426753259,0.959930735189277,0.945618018939171,0.945646553915296,0.948473925624282
ADCY1,0.727911235023054,0.957606571380908,0.940892869677565,0.948248380433173,0.944598929553308
ADCY2,0.798203566684237,0.964769633950914,0.946126806296598,0.946254076201787,0.946137320884824
ADH1A,0.955971048766689,0.958971227536418,0.94593229977989,0.946077719591764,0.946127847958347
ADH1B,0.960386606537798,0.960690311862699,0.945483996058746,0.946161792967126,0.946177267468598
ADH1C,0.960358802179313,0.959090122509891,0.946079783885193,0.945512508707851,0.946240698972668
ADK,0.981995556257688,0.942629935884534,0.945888778399059,0.943158600222408,0.943104464515533
ADM,0.97341748286086,0.953526981367563,0.951680485692089,0.944327221621727,0.947447539612249
ADORA2B,0.955857560621825,0.952476474879012,0.950352771537575,0.944784532384321,0.947413303803122
ADORA3,0.969015604873601,0.952581733263996,0.945030278979218,0.942608302515035,0.942609939457195
ADRA1A,0.951591411810224,0.95929939613918,0.946149442907443,0.946284470399725,0.945993595233427
ADRA2A,0.938299778364711,0.951493444639565,0.94140851227879,0.942912240376763,0.944949378117499
ADRB1,0.947166217284072,0.957036453102481,0.946202300700612,0.946267683819983,0.945972193072625
ADRB2,0.938455022858048,0.960356203203384,0.945355448787242,0.945221376602887,0.946451788448846
ADRB3,0.960409981208022,0.962026731393167,0.946288294495297,0.946398178483602,0.945877775216377
